time	pagename	username	content	photo	video	link	kdv	kq	cmt	
08/08/25 - 09:15	FP - Chuyện của Hà Nội	Đinh Tiến Tuấn	Chưa kịp làm gói xôi cốm    Ảnh: VTV	526122397_1439438873979271_7275300860428518795_n.jpg			Vũ	L	
08/08/25 - 09:15	FP - Chuyện của Hà Nội	Trần Thanh Hà				https://youtu.be/7nXd3N6DjwU?si=Ky6-Zq-6UKzyrQGE	Vũ	L	
08/08/25 - 09:38	FP - Chuyện của Hà Nội	Đinh Tiến Tuấn	Khởi tố vụ cô gái mất 96% sức khỏe vì bị khung đỡ đèn tiệc cưới đổ sập, đè lên người  Theo Báo Tiền Phong	528327105_1458832715321413_3199032464612028823_n.png			Vũ	L	
08/08/25 - 09:38	FP - Chuyện của Hà Nội	Trần Thanh Hà	@Minh Vũ a ưii				Vũ		
08/08/25 - 10:22	FP - Chuyện của Hà Nội	Trần Thanh Hà	Nếu bạn chưa biết thì hôm nay là Ngày Quốc tế Mèo. Ai có meo meo thì thả ảnh khoe đi =)))	527769120_1328611795538946_7338728395011047666_n.jpg			Vũ	L	
08/08/25 - 10:54	FP - Chuyện của Hà Nội	Đinh Tiến Tuấn	68 quân nhân từng đại diện cho Quân đội nhân dân Việt Nam tham gia lễ duyệt binh tại Quảng trường Đỏ (Moscow, Nga) đang luyện tập tại SVĐ Mỹ Đình, chuẩn bị xuất hiện trong "Concert Quốc gia" - "Tổ quốc trong tim"   Chương trình nghệ thuật chính luận "Tổ quốc trong tim" do Báo Nhân dân phối hợp với UBND Thành phố Hà Nội tổ chức sẽ chính thức diễn ra vào 20h ngày 10/8 tại Sân vận động quốc gia Mỹ Đình (Thành phố Hà Nội).  Nguồn: Người đưa tin	"528175596_1267316324397532_4968087698465470482_n.jpg 526298390_620871570698377_3513443866654236528_n.jpg 526220942_1181964620403955_8818632559083683747_n.jpg 526291440_1430706241473152_3740962182551480185_n.jpg 526294778_1110081931050950_3114463438924811631_n.jpg 519838154_639309949199563_4781864215792428997_n.jpg 525558160_777011051941630_6651535257778782412_n.jpg 527067028_4061255777481411_8652967445872758600_n.jpg 518896329_824993230198404_7313872124997179600_n.jpg 517808092_1835167810751607_2093117256383468516_n.jpg"			Vũ	L	
08/08/25 - 10:54	FP - Chuyện của Hà Nội	Đinh Tiến Tuấn		"527716266_31071802262433996_3233023187358449446_n.jpg 528996342_1487660842232294_6201917851348057818_n.jpg 530192068_945707984372298_1416079386706150210_n.jpg 527790431_1793802844824374_722646690677588463_n.jpg"			Vũ		
08/08/25 - 14:53	FP - Chuyện của Hà Nội	Nguyen	Nếu có kiếp sau nguyện làm một con mìu, không thất tình khổ sở, chiều đến có đứa đạp xe cho ra Hồ Tây chơi, ểnh    Các fen có ảnh Hồ Tây lấp lánh như này chưa?    : Quang Anh				Vũ	L	
08/08/25 - 14:53	FP - Chuyện của Hà Nội	Nguyen Ngoc		"528209944_792426926544525_3013034492218428442_n.jpg 520825262_1765395541528334_1605752570265659619_n.jpg 530411770_1809289059962792_4164736121498972677_n.jpg 525820427_1397230938051782_6962763744975831422_n.jpg 528252622_3114172892063407_9161623577451906206_n.jpg 526378151_759356997045239_5987317733306672121_n.jpg"			Vũ	L	
08/08/25 - 15:22	FP - Chuyện của Hà Nội	Thanh Bình	BÀ HOÀNG THỊ MINH HỒ - NGƯỜI PHỤ NỮ MANG CẢ GIA TÀI TRAO CHO CÁCH MẠNG   Bà Hoàng Thị Minh Hồ - vợ nhà tư sản dân tộc Trịnh Văn Bô  là một cái tên đã gắn liền với câu chuyện hiến hơn 5.000 lượng vàng cho Cách mạng, một tấm gương điển hình của người phụ nữ Việt Nam yêu nước, cống hiến mà không màng danh lợi.  Sinh ra trong một gia đình có truyền thống yêu nước, bà là con của cụ Hoàng Đạo Phương - người từng tham gia phong trào Đông Kinh Nghĩa Thục. Bố bà và cụ Trịnh Văn Đường (thân sinh ông Trịnh Văn Bô) vốn là bạn thân. Năm 1932, hai gia đình se duyên cho con cái và giao cho vợ chồng trẻ ngôi nhà 48 Hàng Ngang để mở rộng kinh doanh. Trước khi qua đời, cụ Trịnh Văn Đường dặn dò con trai và con dâu là sau này phải ủng hộ Việt Minh, ủng hộ lãnh tụ Nguyễn Ái Quốc. Lời dặn ấy trở thành kim chỉ nam, khiến gia đình bà một lòng đi theo Cách mạng, sẵn sàng trao cả tài sản khi đất nước cần.  Trong ký ức của bà, một trong những kỷ niệm lớn nhất là lần được Bác Hồ đặt tên đệm. Ngày đó, khi Bác ở 48 Hàng Ngang, Bác hỏi tên bà. Bà đáp: "Thưa Bác, cháu là Hoàng Thị Hồ". Bác mỉm cười: "Cháu thông minh, tham gia việc nước, đảm đang việc nhà. Cháu nên đệm chữ “Minh” trước tên của mình". Từ đó, bà mang tên Hoàng Thị Minh Hồ - một cái tên gắn liền cả đời với lý tưởng phụng sự Tổ quốc.  Khi Chính phủ phát động “Tuần lễ Vàng”, vợ chồng bà mang hơn một trăm lượng vàng đến ủng hộ ngay ngày đầu tiên, cùng mẹ chồng và bố đẻ góp sức. Trước và sau khi thành lập nước, gia đình ông Trịnh Văn Bô đã ủng hộ tổng cộng 5.147 lượng vàng, tương đương khoảng 2 triệu đồng Đông Dương - một con số khổng lồ khi ngân khố quốc gia lúc đó chỉ hơn 1,2 triệu đồng và nhiều tờ bạc đã rách nát.  Cuộc đời bà đi qua hơn một thế kỷ, từ thời đất nước còn chìm trong khói lửa cho đến những ngày hoà bình. Dù sống trong nhung lụa hay giản dị tuổi xế chiều, điều còn lại trong ký ức về bà vẫn là hình ảnh một người phụ nữ Hà thành thanh lịch, cứng cỏi, và khi Tổ quốc gọi, sẵn sàng dốc cả gia tài mà không đòi hỏi bất cứ điều gì cho riêng mình.  Cre: Bài viết trong chiến dịch Lửa từ ngày đầu tiên - Inside the Box Theo Báo Tiền Phong #tiepluatuhao				Vũ	L	
08/08/25 - 15:22	FP - Chuyện của Hà Nội	Bình		526675588_650039880839120_7698945755861883055_n.jpg			Vũ	L	
08/08/25 - 15:22	FP - Chuyện của Hà Nội	Thanh Bình				https://tienphong.vn/nho-nguoi-phu-nu-hien-hon-5-ngan-luong-vang-cho-cach-mang-post988734.tpo	Vũ		
08/08/25 - 15:22	FP - Chuyện của Hà Nội	Nguyen Ngoc	- Có tuổi rồi, về quê các bác cứ hỏi bao giờ cho bác ăn cỗ, ghéc ghê  - Ơ tớ cũng bị thế này, hỏi suốt, gặp là hỏi.  - Hay mình liên minh giúp nhau không?  - Bằng cách?  - Mỗi lần ai hỏi tớ, tớ cho xem ảnh cậu Còn hỏi cậu, thì cứ cho xem ảnh tớ Mà để cho thật hơn ấy, mình giả vờ chụp mấy tấm ảnh đôi đi…  Hm, tuổi ngày càng tăng, không tranh thủ đi thả thính mà yêu đương đi là hỏng đấy, sau này lười không muốn tìm ai đâu    Hm, Hà Nội đợi đấy, vài nữa có người yêu, mình đi lượn khoe cơm tró suốt cho xem hehe  Mận  : Đức Phát				Vũ	L	
08/08/25 - 15:22	FP - Chuyện của Hà Nội	Nguyen		527895171_638312775465308_7241740482462062720_n.jpg			Vũ	L	
08/08/25 - 15:22	FP - Chuyện của Hà Nội	Nguyen Ngoc	Kiểm duyệt ui…				Vũ		
08/08/25 - 15:22	FP - Chuyện của Hà Nội	Minh Vũ		530395069_1451562722839173_6877586257007226790_n.png			Vũ		
08/08/25 - 16:03	FP - Chuyện của Hà Nội	Đinh Tiến Tuấn	Dùng thuốc tránh thai liên tục 1 năm, nữ sinh viên đại học 20 tuổi đột quỵ  Theo Báo Pháp luật TP.HCM	528824024_1330434518654821_5811976233872656399_n.png			Vũ	L	
08/08/25 - 17:39	FP - Chuyện của Hà Nội	Bình	Đã quá Tổ quốc ơiiiii  Cập nhật tình hình luyện tập đội hình diễu binh của các khối Bộ đội, Công an chiều ngày hôm qua 7/8.    Nguyễn Việt Hoàng chia sẻ trong Chuyện của Hà Nội Group				Vũ	L	
08/08/25 - 17:39	FP - Chuyện của Hà Nội	Thanh Bình		"526028520_4024271227812636_1466221704098626019_n.jpg 525946290_1417384426186443_7811342402053048605_n.jpg 525946290_2168341963672801_8481375445898341270_n.jpg 527557080_726843196921072_1069692747916078429_n.jpg 529363545_1101474371936512_3776010700051904843_n.jpg 529361960_619468254189198_3370231658015558448_n.jpg 527724393_784566700675156_5493314052006313215_n.jpg 526294056_1300605354759024_6918584456057246006_n.jpg 526967996_1710398640350327_2743941512251058286_n.jpg 526182449_1276065853429530_6289663253594053881_n.jpg 526378751_604648649134805_5452026752272801257_n.jpg"			Vũ	L	
08/08/25 - 18:45	FP - Chuyện của Hà Nội	Minh Khuê Lê	| 08 . 08 . 2025 - Ngắm nền hoà bình phấp phới cờ hoa là một loại hạnh phúc  Càng gần ngày lễ Quốc Khánh, khắp những con ngõ nẻo đường ở Hà Nội lại rộn ràng treo cờ, đỏ thắm các góc phố.  Nhịp sống của người dân vẫn diễn ra tấp nập, những câu chuyện nhỏ vui buồn vẫn được truyền tai nhau dưới lá cờ Tổ quốc đung đưa trong gió. Ngắm nghía đủ lâu có lẽ sẽ nhận ra: Đó chính là dáng vẻ của hoà bình.  Giản đơn, bé nhỏ thôi nhưng mỗi khoảnh khắc được sinh sống dưới lá cờ đỏ sao vàng, được ngắm nhìn nhịp sống yên ổn của đồng bào đã là một loại may mắn.  Thật may mắn và hạnh phúc, vì là người Việt Nam    Ảnh: Trần Anh Tú	"527229432_1919786318839936_1491058102480388326_n.jpg 528594480_1104042681081284_8213974178706078778_n.jpg 528296190_1246981816756478_1047212856945962808_n.jpg 526624447_1281752320029431_7796858744359990689_n.jpg"			Vũ	L	
08/08/25 - 19:28	FP - Chuyện của Hà Nội	Minh Nguyễn	Chút hoàng hôn đỏ sau một ngày oi ả, bên cầu Long Biên, mặt sông ánh lên những sắc lửa tàn. Gió mang theo hơi ấm còn sót lại của cái nóng ban ngày hoà cùng sắt gỉ và mùi khói bếp từ những mái nhà ven bờ.  Dòng người vẫn xuôi, chỉ có thời gian lặng lại trong khoảnh khắc chớm tối.	"528152076_1093965505523759_1468938280241777120_n.jpg 526110064_1840653013158205_1454795987494322238_n.jpg 529217279_1065961319036550_8282405993467333857_n.jpg 527326591_791379743357703_5352316616643991323_n.jpg 529483948_1264955168179613_9137066186894688234_n.jpg"			Vũ	L	
08/08/25 - 19:28	FP - Chuyện của Hà Nội	Minh Nguyễn	bkd ơi duyệt giúp e với ạ				Vũ		
08/08/25 - 20:11	FP - Chuyện của Hà Nội	Bình	Các bác team nào				Vũ	L	
08/08/25 - 20:11	FP - Chuyện của Hà Nội	Thanh Bình		528273890_1065928735272346_21312152544605469_n.jpg			Vũ	L	
08/08/25 - 20:41	FP - Chuyện của Hà Nội	Thanh Bình	Tứk zậnnnn	525719418_1420305695895660_7019726390645808780_n.png			Vũ		
08/08/25 - 20:41	FP - Chuyện của Hà Nội	Hoàng Tuấn Anh	=))				Vũ		
08/08/25 - 20:41	FP - Chuyện của Hà Nội	Lê Giang Uyên	Làm HR cho một công ty có 70% Gen Z giúp tôi hiểu một điều: tinh thần yêu nước không chỉ tồn tại trong những thời khắc lịch sử, mà còn hiện diện ngay trong từng ngày làm việc, từng dự án, từng ý tưởng của các bạn trẻ.  Ngày xưa, yêu nước là ra chiến trường, hy sinh vì Tổ quốc. Còn ngày nay, với thế hệ Gen Z, yêu nước lại có một “phiên bản” rất khác. Họ yêu nước qua cách sống, cách làm việc và cách lan tỏa giá trị Việt Nam mỗi ngày.  Tinh thần ấy được thể hiện bằng những hành động sáng tạo, gửi gắm vào từng ý tưởng, rồi lan tỏa khắp cộng đồng bằng đủ cách, từ những chiến dịch social, những video TikTok, cho đến các dự án cộng đồng đầy tâm huyết.  Và tinh thần “yêu nước” ấy, tôi bắt gặp hàng ngày ở nơi mình làm việc, qua cách các bạn làm việc, qua cách các bạn tư duy và nghĩ về vai trò của mình.  Trong một lần trò chuyện với bạn làm nội dung cộng đồng, bạn nói: “Mỗi bài viết của em sẽ khiến người xem thấy rõ hơn văn hóa và con người Việt Nam. Đó không chỉ là công việc, mà là hành trình kể chuyện Việt theo cách gần gũi, đời thường, nhưng luôn hướng tới những giá trị tích cực cho cộng đồng.”  Trong một buổi họp, trưởng một dự án cộng đồng chia sẻ: “Em muốn tạo ra những sản phẩm nội dung vừa bảo tồn, vừa lan tỏa giá trị văn hóa và lịch sử dân tộc, khơi dậy tình yêu với đất nước dưới góc nhìn của một người trẻ – với hàng trăm cách thể hiện khác nhau, đầy mới mẻ nhưng vẫn đậm chất Việt.” Đó là cách các bạn chia sẻ kiến thức lịch sử, văn hóa và đưa Việt Nam đến gần hơn với người trong nước lẫn quốc tế qua TikTok, Facebook, YouTube.  Trong chiến dịch đồng hành cùng đất nước mừng đại lễ 30/4 và 2/9, họ đã trực ngày đêm để ghi lại những khoảnh khắc diễu binh, rồi lan tỏa trọn vẹn không khí hào hùng ấy tới cộng đồng. Các bạn biến tinh thần yêu nước thành hành động sống động: kể câu chuyện Việt dưới góc nhìn của người trẻ, kết nối giá trị truyền thống với nhịp sống hiện đại, và truyền niềm tự hào dân tộc tới hàng triệu người qua các nền tảng mạng xã hội, bằng ngôn ngữ mà Gen Z thành thạo nhất: sáng tạo nội dung.  Làm HR cho một công ty có 70% Gen Z giúp tôi hiểu một điều: tinh thần yêu nước không chỉ tồn tại trong những thời khắc lịch sử, mà còn hiện diện ngay trong từng ngày làm việc, từng dự án, từng ý tưởng của các bạn trẻ. Với Gen Z, yêu nước không phải là điều gì to tát, mà là: “Mình có thể làm gì, ngay từ công việc của mình, để Việt Nam đẹp hơn, được biết đến nhiều hơn và tự hào hơn?”  Và tôi tin, đang có rất nhiều bạn thể hiện tình yêu nước theo cách riêng của mình có thể là một video TikTok viral, một sản phẩm sáng tạo “made in Vietnam”, hay một dự án cộng đồng nhỏ nhưng đầy ý nghĩa.  Vậy còn bạn đang yêu nước theo cách nào?  | Chia sẻ từ Giám đốc Nhân sự Hải Yến. Ảnh: Bạn Phương Anh thực hiện chiến dịch “Vang mãi khúc khải hoàn” - Inside the Box.	521169142_1662554181084800_792027096430228688_n.jpg			Vũ	L	
08/08/25 - 20:41	FP - Chuyện của Hà Nội	Lê Giang Uyên	Bkd ơii				Vũ		
08/08/25 - 20:41	FP - Chuyện của Hà Nội	Hoàng Tuấn Anh	@Minh Vũh	529688579_1065842295579436_2587730899715155402_n.png			Vũ		
08/08/25 - 20:41	FP - Chuyện của Hà Nội	Hoàng Tuấn Anh				https://www.youtube.com/watch?v=NNf35uIq2pU&list=RDNNf35uIq2pU&start_radio=1	Vũ		
08/08/25 - 20:41	FP - Chuyện của Hà Nội	Lê Giang Uyên	Khoảnh khắc thay đổi cả đời mình, là khi chiếc máy phản lực ép đứt bàn tay. Nhưng ước mơ của mình thì vẫn còn đó…  Lúc đó mình mới 18 tuổi, vừa chân ướt chân ráo bước ra đời, đi làm công nhân cơ khí. Nhưng vào chính ngày thứ 21, vào cái ngày ngày 4 tháng 12 năm 2020, đúng lúc đồng hồ điểm 19 giờ 30, cái máy thủy lực 20.000 tấn đập một phát vào bàn tay mình. Ban đầu vẫn còn giữ được ngón giữa. Nhưng sau khi phẫu thuật, bác sĩ nói ngón đó bị hoại tử, buộc phải cắt bỏ, nếu không sẽ lan ra các khu vực khác. Thế là giờ tay mình như thế này…  Về quê điều trị, băng bó, phục hồi. Nhưng có một thời gian, hễ nghe thấy tiếng máy móc đập chát chúa là mình lại thấy sợ. Đặc biệt trong hơn 1 năm đầu, nỗi sợ ám ảnh lắm. Sau này thì cũng đỡ đi phần nào.  Bị tai nạn xong, mình tự ti kinh khủng. Có một câu cứ quay cuồng trong đầu mình suốt gần nửa năm trời: “Lúc còn tay đã chẳng làm nên trò trống gì, giờ mất tay thì còn làm được gì nữa?”  Thời gian đó, bạn bè hay họ hàng có đến thăm, mình cũng chỉ nằm lì trên giường. Ai hỏi gì mình cũng không đáp. Chẳng buồn chia sẻ. Đó là cú sốc lớn nhất, biến cố lớn nhất, và cũng là thứ thay đổi hoàn toàn cuộc đời mình.  Nhưng rồi, thay vì gục ngã, mình quyết định bước ra khỏi tự ti. Mình tự kiếm sống bằng nhiều việc khác nhau, vừa để mưu sinh vừa nuôi ước mơ học tập. Có thời điểm trong túi chỉ còn 200 nghìn đồng sống lay lắt qua ngày. Mình từng đi ship hàng, mà ngay đơn đầu tiên đã bị boom vì khách thuê bao. Mất xe 2 lần, mất việc, mình chắt chiu từng đồng để tồn tại.  Nhưng mình không bỏ cuộc, vì cũng với đôi bàn tay ấy, mỗi sáng Chủ nhật mình nấu cháo chay phát cho bệnh nhân ở viện E, lôi kéo thêm nhiều bạn sinh viên tham gia. Mình tham gia Xanh Việt Nam, đi dọn rác, trồng cây, làm sạch những con phố. Theo mọi người đi phát quà đêm, lên vùng cao làm từ thiện.  Rồi cũng có thời điểm, mình làm ở lớp học tiếng Anh, là người đứng trước để hỗ trợ các bạn khác. Không ai gọi mình là “trợ giảng quèn”, rất nhiều bạn gọi mình là “người truyền lửa”, vì câu chuyện về hành trình đến với tiếng Anh của mình được lan khắp trung tâm, đến cả những người mình chưa từng gặp nhưng vẫn biết mình là ai.  Bây giờ mình 23 tuổi, mình cũng chưa làm được gì quá lớn lao. Nhưng mình thấy mình can đảm hơn, có thêm một ngôn ngữ, một chứng chỉ tiếng Anh, làm hồ sơ đi du học. 23 tuổi, mình vẫn thèm học lắm…  Mất đi vài ngón tay không lấy đi ước mơ. Mình vẫn sẽ tiếp tục cố gắng, tiếp tục đóng góp nhiều điều nữa cho cuộc đời này.  | Bạn Sỹ Quyết chia sẻ với Nghề Mới.	525757267_2461544684214765_5464416682249031444_n.jpg			Vũ	L	
08/08/25 - 20:41	FP - Chuyện của Hà Nội	Minh Khuê Lê	Hoàng hôn Hồ Tây tình thế đã có người cùng ngắm chưa?  Bao nhiêu rung động bắt đầu từ đây giờ cũng đã kết thúc rồi… như ánh hoàng hôn chỉ rực rỡ lúc đầu thôi.    Hiệp Nguyễn từ Chuyện của Hà Nội Group	"526298390_1398563961216403_2518998388826110205_n.jpg 526770299_1757084084906505_1472587555297626086_n.jpg 527758233_769007732279301_7519606830822064520_n.jpg 526764954_768506602532042_1188807876601678604_n.jpg"			Vũ	L	
08/08/25 - 20:41	FP - Chuyện của Hà Nội	Hoàng Tuấn Anh	Đại Việt sử ký toàn thư chép lại như sau: Vua thấy Hoài Văn Hầu Trần Quốc Toản, Hoài Nhân Vương Kiện đều còn trẻ tuổi, không cho dự bàn.   Quốc Toản trong lòng hổ thẹn, phẫn kích, tay cầm quả cam, bóp nát lúc nào không biết.  Theo Hoàng Thành Thăng Long				Vũ		
08/08/25 - 20:41	FP - Chuyện của Hà Nội	Hoàng Tuấn Anh	a đổi lại cap chút				Vũ		
08/08/25 - 20:41	FP - Chuyện của Hà Nội	Hoàng Tuấn Anh	Đại Việt sử ký toàn thư chép lại như sau: Vua thấy Hoài Văn Hầu Trần Quốc Toản, Hoài Nhân Vương Kiện đều còn trẻ tuổi, không cho dự bàn.   Quốc Toản trong lòng hổ thẹn, phẫn kích, tay cầm quả cam, bóp nát lúc nào không biết    Theo Hoàng Thành Thăng Long				Vũ	L	
08/08/25 - 20:41	FP - Chuyện của Hà Nội	Hoàng Tuấn Anh	A thêm con cánh cụt				Vũ		
08/08/25 - 22:47	FP - Chuyện của Hà Nội	Nguyen Ngoc	| 08 . 08 . 2025 - Đêm rằm trăng sáng, có kịp chụp bức ảnh nào không? |  Hôm nay đi đường thích thật, có chút gió, và ngẩng đầu là thấy trăng.  Hết một tuần rồi đó, gác công việc sang một bên để ngủ ngon chơi vui hai ngày nào.  Đêm nay trăng sáng, chúc lòng bạn thương cũng dịu như ánh trăng…  Mận  : Nguyên Đào đăng trong Chuyện của Hà Nội group				Vũ	L	
08/08/25 - 22:47	FP - Chuyện của Hà Nội	Nguyen		526586786_1945103846270604_2500467025295523427_n.jpg			Vũ	L	
08/08/25 - 22:47	FP - Chuyện của Hà Nội	Nguyen Ngoc	Có ai k ạ				Vũ		
08/08/25 - 23:10	FP - Chuyện của Hà Nội	Nguyen Ngoc	| 08 . 08 . 2025 - Nếu được tìm lại những thứ đã mất, bạn sẽ tìm lại điều gì đầu tiên? |  Thử tưởng tượng, bạn đang đứng trước một căn phòng, bên trong chứa rất nhiều thứ bạn đã đánh mất. Vậy, bạn muốn thấy lại gì đầu tiên?  Mình bước trước nhé, mình sẽ mở thật nhanh cánh cửa để tìm bố, bố lên trời được nửa năm rồi, mình sẽ ôm bố, sẽ vừa khóc vừa kể bố nghe tất cả ấm ức thời gian qua. Mình, nhớ mùi của bố, nhớ giọng nói bố, nhớ cả dáng bố hay ngồi. Được ôm bố bây giờ, đúng là chỉ có thể thực hiện trong mơ…  Vẫn căn phòng đó, mình đứng giữa đó và nhìn từng thứ mất đi rồi chạy qua. Mình sẽ nhìn thôi, ở góc tường sẽ là nỗi đau nhất, nỗi đau mãi mãi không dám chạm vào. Dù đã mất, nhưng vẫn ở trong tim.  Nếu có một căn phòng như thế, bạn, sẽ tìm lại gì?  Mận	528226967_714215218325720_1337942265058980801_n.jpg			Vũ	L	
09/08/25 - 08:00	FP - Chuyện của Hà Nội	Nguyen Ngoc	Có ai dậy chưa ạ	"528573046_810040154848738_4713686059709031755_n.jpg 525742093_725374047064321_983845277532892425_n.jpg 528147469_1262229721648539_401736574193587576_n.jpg 526547454_737615699248402_5213793674021596286_n.jpg 528232725_1443728460303506_6887863160830673824_n.jpg"			Vũ		
09/08/25 - 08:00	FP - Chuyện của Hà Nội	Nguyen Ngoc	| 09 . 08 . 2025 - Bao lâu rồi chưa có ảnh với Hồ Tây? |  Có một dạo hay ghé Hồ Tây lắm, tuần mà không mò ra được 2-3 lần là không chịu được đâu. Ra đó, ngồi ngắm hồ từ lúc hoàng hôn đến khi tối mịt, cứ ngồi đấy mà chẳng muốn về.  Bao lâu rồi, bao lâu rồi chưa ghé, bao lâu rồi chưa có tấm chụp ảnh chụp ở hoàng hôn để up story rồi?  Mận  : Ảnh xinh chụp từ lâu của bác Mon Gấu				Vũ	L	
09/08/25 - 08:47	FP - Chuyện của Hà Nội	Nguyen Ngoc	…				Vũ		
09/08/25 - 10:07	FP - Chuyện của Hà Nội	Trần Thanh Hà	@Minh Vũ a ơi tin từ báo này lên được ko ah	"401733691_660909386202017_7999512868160441030_n.jpg "			Vũ		
09/08/25 - 10:07	FP - Chuyện của Hà Nội	Đinh Tiến Tuấn	PHẠM NGỌC THẠCH ÍT PHÚT TRƯỚC  Cách đây ít phút, tại Kiot 6-7-8 thuộc B7 Kim Liên nằm trên phố Phạm Ngọc Thạch xảy ra một vụ hỏa hoạn, ngọn lửa bùng phát dữ dội ngay tầng 1 của Kiot.  Sau khi phát hiện, người dân cùng nhân viên cửa hàng đã báo cho lực lượng chức nặng, PCCC đã điều động 2 xe cứu hỏa cùng các chiến sĩ đến hiện trường để khống chế ngọn lửa, không để lây lan ra xung quanh.   Khoảng nửa tiếng sau, vụ cháy đã được dập tắt hoàn toàn. Rất may mắn là không có thương vong về người, một số tài sản cũng bị thiệt hại do vụ cháy.   Theo VOV Giao Thông	"518849122_3056676801201933_8929543838913599737_n.jpg 526966161_1165705698924820_9206422787478056080_n.jpg 525737708_1262918418946881_1849431556834309037_n.jpg 520670418_1124134019578299_3407517612912144859_n.jpg"			Vũ	L	
09/08/25 - 10:07	FP - Chuyện của Hà Nội	Đinh Tiến Tuấn		525758730_770553128701811_223085798493166988_n.png			Vũ		
09/08/25 - 10:07	FP - Chuyện của Hà Nội	Minh Vũ	Giờ chắc chỉ chơi được dòng chính phủ thôi	"529180716_1300362554776569_7866448367452898697_n.jpg 476858424_933199349004139_425187820973599717_n.jpg"			Vũ	L	
09/08/25 - 10:07	FP - Chuyện của Hà Nội	Minh Vũ	Vtv , gov các thứ				Vũ		
09/08/25 - 10:07	FP - Chuyện của Hà Nội	Minh Vũ	Hình như tin này vtv có đăng đó				Vũ	L	
09/08/25 - 11:10	FP - Chuyện của Hà Nội	Đinh Tiến Tuấn	Ô tô Mercedes bất ngờ bốc cháy trên đường.    Video: Beat Từ liêm		528728474_25121235747477370_1818214366154514075_n.mp4		Vũ	L	
09/08/25 - 12:51	FP - Chuyện của Hà Nội	Đinh Tiến Tuấn	Nằm trong nhà mà ngỡ lò sưởi    Ảnh: VTV	528423104_1981097749354961_4969714959623382539_n.jpg			Vũ	L	
